ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,source
600900.SH,20250102,27.56312394122923,27.76860978558946,27.161492518161502,27.273575705994357,27.60048500384018,-0.32690929784582323,-1.1844331641285972,1041220.08,3057996.06,tushare_qfq
600900.SH,20250103,27.28292462691699,27.488410536465835,26.946674956746158,27.086778985984004,27.273575705994357,-0.18679672001035286,-0.6848999999999908,946322.86,2753136.714,tushare_qfq
600900.SH,20250106,27.18018449459134,27.18018449459134,26.6291085890309,26.984038833290168,27.086778985984004,-0.10274015269383696,-0.37929999999999864,794674.26,2286573.074,tushare_qfq
600900.SH,20250107,26.974689606600652,26.984029873084932,26.657120546135133,26.80656480988361,26.984038833290168,-0.17747402340655682,-0.6577000000000274,654960.3,1879633.128,tushare_qfq
600900.SH,20250108,26.77854502616865,27.236218101258384,26.741183958814386,27.086773831841327,26.80656480988361,0.2802090219577167,1.0453000000000123,906309.29,2624410.315,tushare_qfq
600900.SH,20250109,27.03074255863399,27.142825803521202,26.750534446415944,26.890638502524965,27.086773831841327,-0.19613532931636257,-0.7240999999999983,581770.58,1676501.567,tushare_qfq
600900.SH,20250110,26.89064540448656,27.133492497406554,26.629117765957343,26.96536758692348,26.890638502524965,0.07472908439851622,0.27789999999999754,694909.83,2005099.923,tushare_qfq
600900.SH,20250113,26.899993277634234,27.002736307514084,26.55440308622018,26.909333553077854,26.96536758692348,-0.05603403384562711,-0.20780000000000043,906278.06,2602917.132,tushare_qfq
600900.SH,20250114,26.899985078919222,27.068109985662467,26.825262898144448,26.93734616930661,26.909333553077854,0.02801261622875728,0.10410000000001202,819856.65,2362763.164,tushare_qfq
600900.SH,20250115,26.834602164443673,27.19887278206056,26.722518897484633,26.899984070169783,26.93734616930661,-0.03736209913682842,-0.13870000000000057,722792.78,2086198.307,tushare_qfq
600900.SH,20250116,26.83460514193074,27.068111974004626,26.825264868647785,26.93734814804325,26.899984070169783,0.03736407787346607,0.1389000000000009,720602.4,2076090.814,tushare_qfq
600900.SH,20250117,26.965379936225577,27.114824369540305,26.862636888321706,27.096143815375964,26.93734814804325,0.15879566733271488,0.5894999999999997,596372.3,1726533.811,tushare_qfq
600900.SH,20250120,27.133500437357092,27.142840712894905,26.928014375525127,27.058778233054557,27.096143815375964,-0.03736558232140652,-0.13790000000001132,665423.77,1927427.722,tushare_qfq
600900.SH,20250121,27.049451157568253,27.37636096092284,26.91868723622642,27.236256759485162,27.058778233054557,0.1774785264306047,0.6558999999999995,789413.28,2299694.593,tushare_qfq
600900.SH,20250122,27.2362559240754,27.367019841406353,26.713200254751595,26.79726277303578,27.236256759485162,-0.4389939864493826,-1.6118000000000028,1073703.2,3102296.596,tushare_qfq
600900.SH,20250123,26.82527055749248,26.90933303486624,26.414298445887447,26.619784501689963,26.79726277303578,-0.17747827134581584,-0.6622999999999996,1034683.65,2953937.702,tushare_qfq
600900.SH,20250124,26.704479990384918,26.958539525177166,26.53510696719009,26.53510696719009,26.619784501689963,-0.0846775344998747,-0.31809999999999594,840005.77,2388148.361,tushare_qfq
600900.SH,20250127,26.60098216984893,27.381980231432753,26.553934093849904,27.19378792743665,26.53510696719009,0.65868096024656,2.4823000000000017,995244.49,2863650.427,tushare_qfq
600900.SH,20250205,27.156153393981796,27.18438224366369,26.600986016904553,26.676262949389603,27.19378792743665,-0.5175249780470459,-1.9030999999999965,902861.13,2568658.666,tushare_qfq
600900.SH,20250206,26.68566907330826,26.751536380611917,26.469247920739118,26.600982535346425,26.676262949389603,-0.07528041404317776,-0.2822000000000011,676097.34,1908311.707,tushare_qfq
600900.SH,20250207,26.53512179343211,26.572760264061092,26.252833263714745,26.46925446983139,26.600982535346425,-0.13172806551503413,-0.49519999999999487,1091475.51,3059789.716,tushare_qfq
600900.SH,20250210,26.393973055498765,26.497478832186996,26.252828814560267,26.262238430622837,26.46925446983139,-0.20701603920855405,-0.7821000000000103,969000.76,2709703.559,tushare_qfq
600900.SH,20250211,26.328113499943573,26.328113499943573,26.064644172567437,26.252836549264675,26.262238430622837,-0.009401881358162001,-0.035799999999996286,901386.3,2507433.419,tushare_qfq
600900.SH,20250212,26.20579351086949,26.375166682573493,26.13051654566771,26.337528199972603,26.252836549264675,0.08469165070792783,0.3226,714700.71,1996133.152,tushare_qfq
600900.SH,20250213,26.271664296756818,26.563362575123385,26.18697769981168,26.506904843826632,26.337528199972603,0.1693766438540294,0.6431000000000212,940018.14,2643911.849,tushare_qfq
600900.SH,20250214,26.50690615930578,26.81742369684823,26.393990691108524,26.544544648704864,26.506904843826632,0.03763980487823204,0.1419999999999933,928763.77,2628490.803,tushare_qfq
